ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category,is_accurate,verification_bin
Llama,recipe_cooking,85.85,617,False,True,False,Specific,55-64,Bachelors,Low,Beginner,Low,Low,Neutral,False,9.9,True,Cross-referenced Multiple AIs,42.1,77.63,False,Moderate Trust,True,30-45m
Claude,financial_advice,55.95,166,True,False,True,Very Specific,18-24,Masters,Medium,First Time,High,High,Neutral,True,7.7,True,Checked Official Source,34.3,55.71,False,Skeptical,False,30-45m
Mistral,current_events,75.51,289,True,False,True,Specific,45-54,Masters,Low,First Time,High,Low,True,True,10.0,True,Google Search,13.0,53.58,False,Moderate Trust,False,5-15m
Llama,opinion_based,42.81,86,True,False,True,Very Specific,45-54,Masters,Low,Intermediate,Critical,High,False,False,2.7,True,Academic Paper,2.5,21.4,True,Highly Skeptical,False,0-5m
GPT-4,current_events,62.31,51,False,True,True,Very Specific,65+,PhD,Low,Beginner,High,Low,False,False,4.8,True,Cross-referenced Multiple AIs,26.2,40.83,True,Highly Skeptical,False,15-30m
GPT-4,current_events,65.12,320,False,True,True,Very Specific,18-24,PhD,Expert,Beginner,High,Low,True,False,7.5,True,Personal Testing,11.5,61.68,True,Skeptical,False,5-15m
Claude,legal_advice,64.2,293,True,False,False,Specific,65+,PhD,High,Expert,Low,High,False,False,6.6,True,Google Search,27.5,59.63,True,Skeptical,False,15-30m
Claude,creative_writing,64.93,177,True,False,False,Very Specific,65+,Masters,Low,Advanced,Low,Low,True,False,9.4,True,Checked Official Source,30.4,67.76,False,Moderate Trust,False,30-45m
Gemini,technical_coding,75.1,107,False,False,True,Moderate,65+,PhD,Expert,Beginner,High,Low,True,True,9.5,True,Consulted Documentation,37.6,69.68,False,Moderate Trust,False,30-45m
ChatGPT-3.5,opinion_based,43.22,345,True,True,True,Moderate,35-44,High School,Low,Intermediate,High,Medium,False,False,4.3,False,,0.0,26.69,True,Skeptical,False,
Gemini,legal_advice,58.29,776,True,False,True,Vague,65+,PhD,Low,First Time,Low,High,True,True,10.0,False,,0.0,63.76,False,Blind Trust,False,
Llama,current_events,76.42,466,True,False,False,Moderate,35-44,Masters,Expert,Expert,Critical,Low,True,True,9.4,True,Google Search,30.9,66.39,False,Moderate Trust,False,30-45m
Gemini,financial_advice,48.76,60,False,True,True,Moderate,65+,Bachelors,Medium,Beginner,Medium,Low,True,False,7.3,True,Checked Official Source,26.3,47.61,False,Skeptical,False,15-30m
GPT-4,math_calculation,92.82,541,True,False,False,Moderate,65+,High School,Medium,Beginner,Medium,Low,Neutral,False,10.0,False,,0.0,90.77,True,Blind Trust,True,
Mistral,financial_advice,46.95,521,False,False,False,Vague,55-64,High School,Expert,Intermediate,Low,Low,Neutral,False,5.2,True,Academic Paper,25.5,58.55,True,Skeptical,False,15-30m
Claude,creative_writing,60.77,442,True,True,True,Moderate,35-44,High School,Expert,Beginner,Low,Low,Neutral,False,8.0,True,Personal Testing,35.0,71.84,True,Moderate Trust,True,30-45m
Claude,financial_advice,56.58,688,False,True,False,Moderate,35-44,High School,Expert,First Time,Medium,Low,Neutral,True,5.7,True,Google Search,14.8,48.42,True,Skeptical,False,5-15m
Claude,math_calculation,98.66,109,False,True,True,Specific,45-54,Professional,High,Beginner,Medium,Low,False,True,9.1,True,Cross-referenced Multiple AIs,16.6,89.95,True,Moderate Trust,True,15-30m
Claude,math_calculation,89.07,258,False,False,True,Very Specific,55-64,Masters,Expert,Expert,High,Medium,True,False,10.0,True,Asked Colleague,37.6,89.53,True,Moderate Trust,True,30-45m
GPT-4,factual_historical,83.32,152,True,True,True,Moderate,65+,PhD,Low,Beginner,Critical,Medium,True,True,10.0,True,Google Search,44.5,81.0,True,Moderate Trust,True,30-45m
ChatGPT-3.5,scientific_facts,77.77,97,False,True,False,Moderate,18-24,PhD,Expert,Beginner,Critical,Medium,Neutral,True,7.2,True,Cross-referenced Multiple AIs,2.2,76.98,True,Skeptical,True,0-5m
Claude,current_events,65.01,74,True,True,False,Specific,25-34,Masters,Low,Expert,Low,Medium,False,False,8.0,False,,0.0,46.75,False,Blind Trust,False,
GPT-4,recipe_cooking,84.03,180,False,False,True,Moderate,65+,PhD,High,First Time,High,Medium,True,True,10.0,True,Google Search,34.6,85.07,True,Moderate Trust,True,30-45m
Gemini,legal_advice,66.99,263,False,False,True,Very Specific,18-24,Bachelors,High,Intermediate,Medium,Medium,Neutral,False,6.7,True,Google Search,6.1,60.83,True,Skeptical,False,5-15m
ChatGPT-3.5,technical_coding,78.57,772,True,False,False,Moderate,18-24,Bachelors,Medium,Advanced,Medium,Low,False,False,9.0,False,,0.0,92.84,True,Blind Trust,True,
GPT-4,scientific_facts,80.43,560,True,False,True,Moderate,18-24,PhD,High,Beginner,Medium,Low,False,True,8.5,True,Asked Expert,19.6,84.6,True,Moderate Trust,True,15-30m
Mistral,recipe_cooking,76.07,188,False,True,True,Moderate,55-64,High School,Expert,Advanced,Low,Medium,False,True,6.5,True,Asked Expert,35.6,65.51,True,Skeptical,False,30-45m
ChatGPT-3.5,legal_advice,68.36,416,True,True,False,Moderate,25-34,PhD,Low,Intermediate,Low,Medium,Neutral,True,8.2,False,,0.0,76.36,True,Blind Trust,True,
GPT-4,technical_coding,86.27,666,False,False,True,Very Specific,18-24,Bachelors,Expert,Intermediate,High,Medium,Neutral,False,8.1,True,Asked Expert,25.3,79.5,True,Moderate Trust,True,15-30m
Claude,recipe_cooking,78.0,563,False,True,False,Very Specific,45-54,PhD,Medium,Intermediate,Medium,Low,Neutral,False,8.1,False,,0.0,74.43,True,Blind Trust,True,
Gemini,creative_writing,64.34,477,True,True,False,Moderate,45-54,High School,High,Beginner,Low,Medium,Neutral,True,8.7,False,,0.0,75.1,True,Blind Trust,True,
ChatGPT-3.5,financial_advice,48.63,758,True,True,True,Specific,35-44,High School,Medium,Intermediate,Medium,Low,Neutral,False,5.7,False,,0.0,60.58,True,Skeptical,False,
GPT-4,technical_coding,78.51,751,True,False,True,Vague,45-54,Masters,Medium,Intermediate,High,High,Neutral,False,8.5,True,Consulted Documentation,22.1,73.84,True,Moderate Trust,True,15-30m
ChatGPT-3.5,general_knowledge,65.68,228,False,True,False,Vague,18-24,Professional,Medium,Beginner,Low,High,False,True,6.6,False,,0.0,67.84,True,Moderate Trust,False,
Gemini,recipe_cooking,83.56,782,False,False,False,Moderate,35-44,Professional,Medium,Intermediate,Medium,Low,Neutral,True,8.9,True,Consulted Documentation,17.2,77.87,True,Moderate Trust,True,15-30m
Mistral,scientific_facts,78.98,721,True,False,True,Specific,45-54,High School,Low,Expert,High,High,True,True,10.0,False,,0.0,81.3,True,Blind Trust,True,
ChatGPT-3.5,opinion_based,44.6,177,True,True,True,Vague,35-44,Masters,Low,Expert,High,Low,True,False,5.8,True,Asked Colleague,37.0,22.32,False,Skeptical,False,30-45m
ChatGPT-3.5,scientific_facts,89.73,530,False,False,True,Very Specific,55-64,Masters,High,Advanced,Critical,Medium,Neutral,False,8.0,False,,0.0,87.16,True,Blind Trust,True,
Gemini,math_calculation,85.71,745,True,True,True,Moderate,65+,Bachelors,Expert,Beginner,High,Low,Neutral,True,8.8,True,Asked Colleague,41.3,79.75,True,Moderate Trust,True,30-45m
Mistral,medical_advice,66.94,591,False,True,False,Vague,18-24,PhD,Medium,First Time,Critical,Medium,Neutral,False,6.2,True,Personal Testing,31.0,58.21,True,Skeptical,False,30-45m
Gemini,creative_writing,69.4,127,True,True,False,Specific,18-24,PhD,High,Advanced,Critical,Medium,Neutral,True,7.0,True,Asked Colleague,8.4,83.3,True,Skeptical,True,5-15m
Llama,creative_writing,78.42,154,False,False,False,Vague,35-44,PhD,Low,Intermediate,Low,Medium,Neutral,False,8.8,False,,0.0,66.9,False,Blind Trust,False,
Mistral,recipe_cooking,80.39,298,False,True,False,Specific,25-34,Professional,Medium,Expert,High,High,False,True,7.5,True,Academic Paper,2.4,77.29,True,Skeptical,True,0-5m
GPT-4,technical_coding,83.16,257,True,True,True,Specific,65+,Professional,Medium,Expert,High,Low,Neutral,True,9.3,True,Cross-referenced Multiple AIs,16.5,96.68,True,Moderate Trust,True,15-30m
ChatGPT-3.5,general_knowledge,72.92,490,False,True,True,Very Specific,25-34,PhD,Medium,Advanced,Low,Low,False,True,7.3,True,Academic Paper,37.6,87.51,True,Skeptical,True,30-45m
ChatGPT-3.5,recipe_cooking,75.38,317,False,True,False,Specific,35-44,Masters,Medium,Advanced,Critical,Low,False,False,5.1,True,Asked Colleague,25.4,60.63,True,Skeptical,False,15-30m
Llama,current_events,65.96,794,True,True,True,Very Specific,55-64,Bachelors,Low,First Time,Critical,High,Neutral,True,7.4,True,Consulted Documentation,21.3,66.6,True,Skeptical,False,15-30m
Llama,legal_advice,58.08,587,True,True,False,Very Specific,65+,PhD,Medium,Intermediate,Low,High,Neutral,False,7.9,True,Google Search,41.5,61.59,True,Skeptical,False,30-45m
GPT-4,current_events,59.28,138,True,True,False,Specific,35-44,Professional,Medium,Advanced,Medium,High,Neutral,True,7.6,False,,0.0,35.69,False,Moderate Trust,False,
ChatGPT-3.5,math_calculation,98.51,697,False,False,True,Moderate,65+,Bachelors,Low,Advanced,Critical,High,Neutral,False,9.5,True,Academic Paper,39.0,100.0,True,Moderate Trust,True,30-45m
Gemini,factual_historical,88.03,129,True,False,False,Specific,45-54,Masters,Expert,Beginner,Low,High,Neutral,False,10.0,False,,0.0,96.82,True,Blind Trust,True,
Mistral,technical_coding,75.58,253,False,False,False,Vague,55-64,PhD,High,Intermediate,Low,Low,Neutral,False,8.1,True,Consulted Documentation,32.6,61.68,True,Moderate Trust,False,30-45m
Gemini,opinion_based,47.38,144,False,True,True,Specific,65+,Bachelors,Medium,Intermediate,Critical,Low,Neutral,False,4.2,True,Asked Colleague,31.8,35.21,True,Highly Skeptical,False,30-45m
Gemini,factual_historical,76.86,439,True,False,False,Very Specific,55-64,PhD,Low,First Time,Medium,Medium,True,False,10.0,True,Academic Paper,32.8,68.52,False,Moderate Trust,False,30-45m
Claude,math_calculation,88.16,689,True,True,False,Vague,65+,High School,Medium,Expert,Medium,Low,True,False,10.0,False,,0.0,75.67,False,Blind Trust,True,
ChatGPT-3.5,scientific_facts,89.46,751,True,True,True,Very Specific,25-34,High School,Low,Expert,High,Medium,False,False,8.4,True,Google Search,35.8,79.42,True,Moderate Trust,True,30-45m
Claude,current_events,59.47,771,False,True,True,Moderate,55-64,Bachelors,Expert,Expert,Low,High,False,False,5.2,False,,0.0,42.38,True,Skeptical,False,
ChatGPT-3.5,scientific_facts,88.65,725,False,False,False,Moderate,25-34,Professional,Low,Advanced,Low,Low,False,True,8.9,True,Asked Colleague,9.6,79.42,True,Moderate Trust,True,5-15m
ChatGPT-3.5,general_knowledge,80.62,517,False,False,False,Vague,45-54,PhD,Low,Intermediate,High,Low,True,True,9.0,True,Asked Colleague,12.6,68.01,False,Moderate Trust,False,5-15m
GPT-4,technical_coding,80.77,597,True,False,True,Very Specific,65+,Professional,Expert,Intermediate,High,Low,Neutral,False,8.2,True,Asked Expert,16.2,73.31,True,Moderate Trust,True,15-30m
Mistral,scientific_facts,89.4,388,True,True,False,Vague,65+,Professional,Medium,Advanced,Low,Low,False,True,8.9,True,Consulted Documentation,16.3,100.0,True,Moderate Trust,True,15-30m
Mistral,creative_writing,77.13,639,False,True,False,Vague,55-64,Masters,Expert,Expert,High,Medium,Neutral,False,6.9,True,Academic Paper,34.3,66.69,True,Skeptical,False,30-45m
Gemini,recipe_cooking,83.64,756,False,False,False,Vague,45-54,Masters,High,Beginner,High,Medium,True,False,10.0,True,Academic Paper,25.8,80.54,True,Moderate Trust,True,15-30m
Claude,recipe_cooking,88.54,196,True,False,False,Specific,65+,High School,Expert,First Time,Medium,High,True,True,10.0,False,,0.0,96.36,True,Blind Trust,True,
Claude,opinion_based,54.8,770,True,True,True,Vague,45-54,PhD,Low,Advanced,Low,Medium,True,False,8.9,True,Consulted Documentation,23.3,59.7,False,Moderate Trust,False,15-30m
Gemini,legal_advice,48.06,566,True,False,True,Vague,35-44,Masters,Expert,Advanced,High,Medium,False,False,3.9,True,Personal Testing,14.8,61.44,False,Highly Skeptical,False,5-15m
Llama,scientific_facts,87.56,115,False,True,True,Vague,55-64,Professional,Medium,Intermediate,Medium,Low,False,False,7.6,True,Personal Testing,32.5,97.2,False,Skeptical,True,30-45m
Llama,current_events,59.58,295,False,True,True,Vague,25-34,High School,High,Advanced,Low,Low,False,False,4.9,True,Academic Paper,19.0,43.43,True,Highly Skeptical,False,15-30m
Claude,scientific_facts,89.02,339,False,False,False,Very Specific,35-44,PhD,Expert,First Time,High,Medium,False,False,8.7,False,,0.0,80.9,True,Blind Trust,True,
GPT-4,medical_advice,67.63,357,False,True,True,Moderate,55-64,PhD,Medium,Advanced,Critical,Low,False,True,4.1,True,Asked Colleague,42.8,81.96,False,Highly Skeptical,True,30-45m
ChatGPT-3.5,opinion_based,42.75,792,True,True,True,Very Specific,25-34,PhD,Expert,Intermediate,High,Low,True,False,5.6,True,Cross-referenced Multiple AIs,14.7,24.32,False,Skeptical,False,5-15m
Llama,recipe_cooking,89.01,193,False,False,True,Specific,18-24,High School,High,Expert,Medium,Low,True,True,10.0,True,Asked Colleague,11.6,74.75,False,Moderate Trust,True,5-15m
GPT-4,financial_advice,61.16,108,False,True,True,Moderate,25-34,High School,Medium,Advanced,Medium,Low,False,False,5.5,False,,0.0,68.37,True,Skeptical,False,
ChatGPT-3.5,math_calculation,98.0,275,False,False,True,Very Specific,18-24,PhD,Low,First Time,Low,High,True,False,10.0,False,,0.0,96.56,True,Blind Trust,True,
Mistral,financial_advice,46.99,108,True,False,False,Vague,55-64,Professional,Medium,First Time,Medium,Medium,Neutral,False,7.5,True,Checked Official Source,36.9,33.92,False,Skeptical,False,30-45m
ChatGPT-3.5,general_knowledge,77.24,642,True,True,True,Moderate,25-34,Bachelors,Expert,Beginner,Critical,High,True,True,9.8,False,,0.0,66.48,False,Blind Trust,False,
Mistral,legal_advice,61.57,780,True,True,False,Specific,25-34,Masters,Medium,Intermediate,Critical,Medium,False,False,4.9,True,Checked Official Source,18.2,75.93,False,Highly Skeptical,True,15-30m
GPT-4,math_calculation,96.55,723,False,False,False,Vague,55-64,Bachelors,Expert,Advanced,Low,Low,True,False,10.0,True,Asked Expert,19.6,94.05,True,Moderate Trust,True,15-30m
Gemini,legal_advice,47.62,224,True,True,True,Vague,65+,Masters,Low,Intermediate,Low,High,Neutral,True,6.8,True,Consulted Documentation,2.8,33.5,False,Skeptical,False,0-5m
Claude,technical_coding,78.05,118,True,False,True,Moderate,35-44,Masters,Medium,Beginner,Medium,High,Neutral,False,10.0,False,,0.0,85.32,True,Blind Trust,True,
Llama,recipe_cooking,80.1,492,True,True,False,Moderate,35-44,High School,Expert,Intermediate,Medium,Low,False,False,7.9,False,,0.0,69.2,True,Moderate Trust,False,
ChatGPT-3.5,legal_advice,47.8,320,True,False,False,Vague,45-54,Masters,Expert,Expert,Medium,Low,Neutral,False,6.2,True,Asked Colleague,7.2,37.55,False,Skeptical,False,5-15m
Claude,scientific_facts,70.42,539,False,True,False,Vague,18-24,PhD,Low,Intermediate,Low,Medium,True,False,9.6,True,Checked Official Source,33.8,63.12,False,Moderate Trust,False,30-45m
GPT-4,math_calculation,87.81,50,True,True,False,Specific,45-54,Masters,Low,Intermediate,Medium,Low,False,False,8.5,False,,0.0,98.22,True,Blind Trust,True,
Claude,scientific_facts,73.05,721,False,False,True,Very Specific,45-54,Masters,Expert,Intermediate,Low,High,False,True,7.2,True,Personal Testing,12.2,82.04,True,Skeptical,True,5-15m
GPT-4,general_knowledge,70.61,220,True,True,False,Very Specific,45-54,Masters,Expert,Intermediate,Low,High,False,False,6.3,False,,0.0,69.78,True,Moderate Trust,False,
Gemini,financial_advice,45.34,231,True,False,True,Moderate,18-24,Professional,Medium,Expert,High,Medium,True,True,7.1,True,Checked Official Source,11.1,44.75,False,Skeptical,False,5-15m
Claude,medical_advice,50.15,755,True,True,False,Very Specific,65+,Masters,Expert,Expert,Medium,Medium,Neutral,False,5.5,True,Checked Official Source,9.0,48.53,True,Skeptical,False,5-15m
GPT-4,factual_historical,84.98,132,False,True,False,Very Specific,45-54,PhD,Medium,First Time,Low,Low,True,True,10.0,True,Consulted Documentation,43.1,87.49,True,Moderate Trust,True,30-45m
GPT-4,medical_advice,66.04,238,False,True,True,Vague,65+,Bachelors,Medium,First Time,Low,High,True,True,9.4,False,,0.0,65.23,False,Blind Trust,False,
GPT-4,scientific_facts,81.35,674,True,False,True,Very Specific,45-54,PhD,Medium,First Time,Medium,High,True,False,10.0,False,,0.0,67.71,False,Blind Trust,False,
Mistral,technical_coding,76.91,730,False,True,False,Very Specific,18-24,High School,Expert,First Time,Medium,High,True,True,8.8,False,,0.0,90.58,True,Blind Trust,True,
Claude,creative_writing,78.03,589,True,False,True,Specific,35-44,Professional,Expert,Advanced,High,Low,True,True,10.0,True,Personal Testing,14.5,89.62,True,Moderate Trust,True,5-15m
GPT-4,general_knowledge,71.79,708,False,True,False,Moderate,45-54,PhD,Low,First Time,Medium,Low,True,False,8.5,True,Asked Colleague,36.7,63.14,False,Moderate Trust,False,30-45m
GPT-4,general_knowledge,80.48,317,False,True,True,Vague,18-24,PhD,High,Intermediate,High,High,Neutral,False,6.9,False,,0.0,73.52,True,Moderate Trust,True,
ChatGPT-3.5,legal_advice,55.68,756,True,True,False,Vague,55-64,Professional,Low,First Time,High,Low,True,True,8.1,True,Consulted Documentation,33.0,69.88,True,Moderate Trust,False,30-45m
GPT-4,math_calculation,96.49,602,True,False,True,Moderate,18-24,PhD,Expert,First Time,High,Low,True,True,10.0,True,Asked Colleague,17.0,100.0,True,Moderate Trust,True,15-30m
Llama,opinion_based,43.96,591,True,True,False,Very Specific,45-54,PhD,Medium,Advanced,High,High,True,False,6.1,True,Academic Paper,35.0,27.98,False,Skeptical,False,30-45m
Gemini,financial_advice,49.18,689,False,True,False,Specific,45-54,PhD,High,Beginner,High,Low,True,True,6.1,True,Academic Paper,10.4,47.24,True,Skeptical,False,5-15m
GPT-4,factual_historical,93.81,760,False,True,False,Very Specific,55-64,PhD,Low,Intermediate,Low,Low,True,True,10.0,False,,0.0,100.0,True,Blind Trust,True,
Llama,medical_advice,70.67,566,True,True,True,Vague,35-44,PhD,Low,Advanced,High,Medium,True,False,8.4,True,Consulted Documentation,23.1,83.72,True,Moderate Trust,True,15-30m
Mistral,recipe_cooking,82.39,62,True,False,False,Specific,65+,High School,Low,Intermediate,Critical,Low,False,False,7.7,True,Consulted Documentation,34.1,95.29,True,Skeptical,True,30-45m
Llama,recipe_cooking,75.22,132,True,True,True,Vague,55-64,PhD,Medium,Expert,Critical,Low,False,True,6.1,True,Academic Paper,34.3,87.09,False,Skeptical,True,30-45m
Gemini,general_knowledge,76.5,755,True,False,True,Specific,35-44,Professional,Medium,Advanced,Critical,High,Neutral,False,7.8,False,,0.0,69.89,True,Moderate Trust,False,
Mistral,opinion_based,58.06,532,True,False,False,Very Specific,65+,Professional,Expert,Expert,Medium,Low,False,True,5.4,True,Cross-referenced Multiple AIs,2.3,62.24,True,Skeptical,False,0-5m
ChatGPT-3.5,scientific_facts,85.31,481,True,False,True,Specific,65+,High School,High,Expert,High,Low,Neutral,False,8.8,True,Asked Colleague,39.2,92.09,True,Moderate Trust,True,30-45m
GPT-4,creative_writing,72.65,92,False,False,False,Vague,45-54,Professional,Low,Expert,High,Medium,True,False,8.6,True,Cross-referenced Multiple AIs,44.4,81.65,True,Moderate Trust,True,30-45m
GPT-4,current_events,77.8,762,True,True,False,Very Specific,18-24,Bachelors,Expert,Expert,Low,High,Neutral,True,8.8,True,Checked Official Source,43.1,80.59,True,Moderate Trust,True,30-45m
Llama,current_events,61.88,673,False,True,True,Specific,35-44,PhD,Medium,Advanced,Medium,Medium,True,True,8.5,True,Academic Paper,35.2,41.11,False,Moderate Trust,False,30-45m
GPT-4,factual_historical,74.22,259,True,False,True,Very Specific,45-54,Masters,Low,First Time,High,Low,True,True,9.9,True,Cross-referenced Multiple AIs,16.7,77.62,False,Moderate Trust,True,15-30m
Gemini,math_calculation,87.35,429,True,False,False,Specific,25-34,PhD,Expert,First Time,Low,Medium,Neutral,False,10.0,True,Personal Testing,2.6,79.13,False,Moderate Trust,True,0-5m
Llama,factual_historical,76.96,321,True,False,False,Very Specific,18-24,High School,High,Intermediate,High,Low,Neutral,False,8.3,True,Asked Expert,45.0,91.3,True,Moderate Trust,True,30-45m
Llama,opinion_based,54.88,209,False,True,True,Very Specific,18-24,PhD,High,Beginner,Medium,Low,Neutral,False,5.7,True,Cross-referenced Multiple AIs,44.8,59.57,True,Skeptical,False,30-45m
ChatGPT-3.5,math_calculation,91.13,574,False,False,True,Moderate,18-24,High School,Low,First Time,High,Medium,Neutral,False,10.0,True,Checked Official Source,40.4,88.94,True,Moderate Trust,True,30-45m
Mistral,creative_writing,70.26,385,True,True,True,Vague,35-44,PhD,High,Advanced,High,Low,False,False,6.8,True,Consulted Documentation,7.9,80.02,True,Skeptical,True,5-15m
Gemini,legal_advice,52.04,337,True,False,False,Moderate,25-34,Masters,High,Beginner,Critical,High,Neutral,False,6.0,True,Checked Official Source,13.6,45.32,True,Skeptical,False,5-15m
GPT-4,medical_advice,73.61,580,True,True,True,Vague,65+,High School,High,Intermediate,High,Low,Neutral,True,7.0,True,Academic Paper,38.1,87.82,True,Skeptical,True,30-45m
Llama,scientific_facts,85.7,383,True,True,False,Very Specific,18-24,Masters,Medium,Expert,High,Medium,False,False,8.0,False,,0.0,90.57,True,Blind Trust,True,
Gemini,financial_advice,53.61,761,False,False,False,Very Specific,35-44,Masters,High,Intermediate,Low,High,Neutral,True,5.9,False,,0.0,64.58,True,Skeptical,False,
Gemini,current_events,74.74,365,False,False,True,Vague,65+,Masters,Expert,First Time,Critical,Medium,True,True,9.4,True,Asked Expert,28.0,65.1,False,Moderate Trust,False,15-30m
GPT-4,recipe_cooking,84.23,512,True,True,False,Very Specific,45-54,Professional,Medium,Advanced,Low,Medium,True,False,10.0,True,Consulted Documentation,16.9,80.71,True,Moderate Trust,True,15-30m
GPT-4,current_events,58.22,544,True,False,True,Specific,18-24,Professional,Medium,Expert,High,Low,False,False,5.3,True,Asked Colleague,40.8,41.87,True,Skeptical,False,30-45m
Llama,recipe_cooking,84.3,207,False,True,True,Vague,18-24,Masters,Expert,Expert,Critical,Low,True,False,7.8,True,Google Search,3.1,96.97,True,Skeptical,True,0-5m
Gemini,scientific_facts,73.61,739,True,True,False,Specific,65+,PhD,Expert,First Time,Critical,Low,False,True,7.1,True,Asked Expert,6.1,73.24,True,Skeptical,True,5-15m
ChatGPT-3.5,math_calculation,97.58,420,True,True,False,Very Specific,45-54,PhD,Medium,Intermediate,Critical,Low,True,True,10.0,False,,0.0,94.03,True,Blind Trust,True,
Gemini,general_knowledge,81.36,64,True,False,True,Moderate,18-24,High School,Medium,Advanced,Medium,Low,False,True,8.7,False,,0.0,78.41,True,Blind Trust,True,
Mistral,math_calculation,92.45,519,True,False,False,Vague,18-24,Masters,High,Advanced,Low,High,Neutral,True,10.0,False,,0.0,79.89,False,Blind Trust,True,
Mistral,legal_advice,57.5,662,False,False,False,Moderate,35-44,Professional,Expert,First Time,Low,High,True,False,8.0,True,Cross-referenced Multiple AIs,31.3,66.09,True,Moderate Trust,False,30-45m
